station,nom,superficie_km2,hiver_Q2_7,hiver_Q10_7,hiver_Q5_30,ete_Q2_7,ete_Q10_7,ete_Q5_30,commentaires
050144_16,Vermillon,2662.0,15.19,12.15,13.73,11.68,6.58,9.66,Hiver : 2006-2021
050304,Batiscan,4504.0,25.5,18.68,22.26,29.56,17.78,26.8,1970-2020
050408,Ste-Anne,1546.0,10.27,7.81,9.07,13.41,9.36,14.32,Hiver : 1970-2020
050409,Bras du nord,646.0,4.35,3.43,3.94,5.67,4.02,6.03,Hiver : 1996-2021
050501,La Chevrotière,19.4,0.042,0.018,0.03,0.024,0.012,0.03,2006-2020
050702_01,Portneuf,328.0,2.74,2.14,2.6,2.03,1.2,1.96,050701 : 1970-2002
050812,Aux Pommes,97.8,0.636,0.532,0.626,0.537,0.422,0.579,1987-2020
050813,Décharge du lac Clair,2.2,0.027,0.015,0.02,0.023,0.012,0.02,Hiver : 1988-2000
050904,St-Charles,365.0,0.882,0.208,0.458,0.792,0.242,0.769,1970-2020
050915,Nelson,58.4,0.364,0.274,0.337,0.37,0.228,0.381,2006-2020
050916,Des Hurons,75.5,0.549,0.47,0.537,0.645,0.442,0.664,2007-2020
051001,Montmorency,1107.0,5.29,3.36,4.37,8.82,4.733,8.761,Hiver : 1970-2020
051002,Des Eaux Volées,3.8,0.033,0.027,0.031,0.059,0.045,0.06,1970-2020
051003,Des Eaux Volées,9.1,0.062,0.047,0.057,0.114,0.084,0.12,1970-2020
051004,Des Aulnaies,1.1,0.005,0.004,0.005,0.012,0.008,0.012,1970-2020
051005,Montmorency,267.0,1.29,0.79,1.03,2.167,1.613,2.409,Hiver : 1970-2020
