station,nom_intervenant,num_site,secteur_scian,municipalite,debit_estival_m3s,volume_annuel_moyen_Mm3,premiere_annee,derniere_annee,rang
024003,CLUB DE GOLF DE PLESSISVILLE (1990) INC.,45071.0,Réseaux d'aqueduc & systèmes d'irrigation,Plessisville,0.0008078518079042317,0.00224611,2021.0,2024.0,7
024003,9074-5126 Québec inc.,47388.0,Culture en pépinière & floriculture,Plessisville,0.00020095819304152634,0.0011205,2020.0,2020.0,8
024014,VILLE DE PLESSISVILLE,49241.0,Réseaux d'aqueduc & systèmes d'irrigation,Notre-Dame-de-Lourdes,0.09749979291119078,1.2876996,2020.0,2024.0,1
024014,Quatre Comtés inc.,72794.0,Culture de noix & de fruits (sauf les agrumes),Saint-Louis-de-Blandford,0.08916463293650793,0.2397585,2021.0,2024.0,2
024014,CARRIÈRES P.C.M. INC.,43762.0,Extraction de grès,Saint-Wenceslas,0.014242963935160575,0.0685975,2021.0,2022.0,3
024014,ORICA CANADA INC.,48421.0,Fab. d'explosifs,Saint-Joseph-de-Coleraine,0.0056477810135404215,0.074403,2020.0,2023.0,4
024014,Gestion G. Desloges inc.,45454.0,Terrains de golf & country clubs,Princeville,0.0028876387886804552,0.0218253,2020.0,2020.0,5
024014,Municipalité de Saint-Ferdinand,49981.0,Réseaux d'aqueduc & systèmes d'irrigation,Irlande,0.002772043010752688,0.036608,2024.0,2024.0,6
024014,CLUB DE GOLF DE PLESSISVILLE (1990) INC.,72842.0,Réseaux d'aqueduc & systèmes d'irrigation,Princeville,0.0025783721821290243,0.01112958,2021.0,2024.0,7
024014,MUNICIPALITE DE SAINT-PIERRE-DE-BROUGHTON,51607.0,Réseaux d'aqueduc & systèmes d'irrigation,Saint-Pierre-de-Broughton,0.0009446265183193946,0.012486825,2021.0,2024.0,8
024014,CANNEBERGES ATOKA INC.,63480.0,Préservation & congélation de fruits & légumes,Saint-Louis-de-Blandford,0.0008693852050975706,0.0229704,2020.0,2024.0,9
024014,CLUB DE GOLF DE PLESSISVILLE (1990) INC.,45071.0,Réseaux d'aqueduc & systèmes d'irrigation,Plessisville,0.0008078518079042317,0.00224611,2021.0,2024.0,10
024014,9074-5126 Québec inc.,47388.0,Culture en pépinière & floriculture,Plessisville,0.00020095819304152634,0.0011205,2020.0,2020.0,11
